constraints,proof,infra,trial,parties,time
8,groth16,local,1,2,0.011294
8,groth16,hbc,1,2,0.025553
8,groth16,spdz,1,2,0.036529
8,groth16,gsz,1,2,0.063484
8,marlin,local,1,2,0.037544
8,marlin,hbc,1,2,0.087862
8,marlin,spdz,1,2,0.093831
8,marlin,gsz,1,2,0.086732
8,plonk,local,1,2,0.066168
8,plonk,hbc,1,2,0.156266
8,plonk,spdz,1,2,0.259155
8,plonk,gsz,1,2,0.185571
8,groth16,local,1,3,0.019296
8,groth16,hbc,1,3,0.041058
8,groth16,spdz,1,3,0.053987
8,groth16,gsz,1,3,0.086849
8,marlin,local,1,3,0.037004
8,marlin,hbc,1,3,0.08614
8,marlin,spdz,1,3,0.129907
8,marlin,gsz,1,3,0.107761
8,plonk,local,1,3,0.079627
8,plonk,hbc,1,3,0.15924
8,plonk,spdz,1,3,0.304344
8,plonk,gsz,1,3,0.206221
16,groth16,local,1,2,0.015606
16,groth16,hbc,1,2,0.033529
16,groth16,spdz,1,2,0.06793
16,groth16,gsz,1,2,0.072975
16,marlin,local,1,2,0.059093
16,marlin,hbc,1,2,0.074713
16,marlin,spdz,1,2,0.120463
16,marlin,gsz,1,2,0.164008
16,plonk,local,1,2,0.13304
16,plonk,hbc,1,2,0.207839
16,plonk,spdz,1,2,0.387305
16,plonk,gsz,1,2,0.271564
16,groth16,local,1,3,0.015633
16,groth16,hbc,1,3,0.034459
16,groth16,spdz,1,3,0.105558
16,groth16,gsz,1,3,0.097385
16,marlin,local,1,3,0.0584
16,marlin,hbc,1,3,0.110298
16,marlin,spdz,1,3,0.147998
16,marlin,gsz,1,3,0.114398
16,plonk,local,1,3,0.124514
16,plonk,hbc,1,3,0.250557
16,plonk,spdz,1,3,0.568023
16,plonk,gsz,1,3,0.495413
32,groth16,local,1,2,0.032279
32,groth16,hbc,1,2,0.042364
32,groth16,spdz,1,2,0.15192
32,groth16,gsz,1,2,0.072868
32,marlin,local,1,2,0.09108
32,marlin,hbc,1,2,0.163606
32,marlin,spdz,1,2,0.187501
32,marlin,gsz,1,2,0.116533
32,plonk,local,1,2,0.178741
32,plonk,hbc,1,2,0.256833
32,plonk,spdz,1,2,0.478497
32,plonk,gsz,1,2,0.296766
32,groth16,local,1,3,0.03254
32,groth16,hbc,1,3,0.060473
32,groth16,spdz,1,3,0.105959
32,groth16,gsz,1,3,0.110027
32,marlin,local,1,3,0.09125
32,marlin,hbc,1,3,0.171217
32,marlin,spdz,1,3,0.225354
32,marlin,gsz,1,3,0.162587
32,plonk,local,1,3,0.176977
32,plonk,hbc,1,3,0.339707
32,plonk,spdz,1,3,0.588843
32,plonk,gsz,1,3,0.388051
64,groth16,local,1,2,0.043151
64,groth16,hbc,1,2,0.051616
64,groth16,spdz,1,2,0.104818
64,groth16,gsz,1,2,0.082738
64,marlin,local,1,2,0.147591
64,marlin,hbc,1,2,0.167418
64,marlin,spdz,1,2,0.281128
64,marlin,gsz,1,2,0.187761
64,plonk,local,1,2,0.302373
64,plonk,hbc,1,2,0.374875
64,plonk,spdz,1,2,0.771403
64,plonk,gsz,1,2,0.461523
64,groth16,local,1,3,0.042825
64,groth16,hbc,1,3,0.085571
64,groth16,spdz,1,3,0.149025
64,groth16,gsz,1,3,0.148413
64,marlin,local,1,3,0.144302
64,marlin,hbc,1,3,0.185926
64,marlin,spdz,1,3,0.30991
64,marlin,gsz,1,3,0.236904
64,plonk,local,1,3,0.304421
64,plonk,hbc,1,3,0.495079
64,plonk,spdz,1,3,0.904758
64,plonk,gsz,1,3,0.695861
128,groth16,local,1,2,0.071167
128,groth16,hbc,1,2,0.079067
128,groth16,spdz,1,2,0.170864
128,groth16,gsz,1,2,0.146286
128,marlin,local,1,2,0.235034
128,marlin,hbc,1,2,0.257468
128,marlin,spdz,1,2,0.433623
128,marlin,gsz,1,2,0.279681
128,plonk,local,1,2,0.532684
128,plonk,hbc,1,2,0.61373
128,plonk,spdz,1,2,1.254
128,plonk,gsz,1,2,0.731286
128,groth16,local,1,3,0.07475
128,groth16,hbc,1,3,0.118961
128,groth16,spdz,1,3,0.198964
128,groth16,gsz,1,3,0.15026
128,marlin,local,1,3,0.234972
128,marlin,hbc,1,3,0.294917
128,marlin,spdz,1,3,0.468543
128,marlin,gsz,1,3,0.30985
128,plonk,local,1,3,0.522264
128,plonk,hbc,1,3,0.650545
128,plonk,spdz,1,3,1.246
128,plonk,gsz,1,3,0.891261
256,groth16,local,1,2,0.121921
256,groth16,hbc,1,2,0.131076
256,groth16,spdz,1,2,0.274225
256,groth16,gsz,1,2,0.180474
256,marlin,local,1,2,0.387149
256,marlin,hbc,1,2,0.420671
256,marlin,spdz,1,2,0.715444
256,marlin,gsz,1,2,0.446369
256,plonk,local,1,2,0.801132
256,plonk,hbc,1,2,0.937959
256,plonk,spdz,1,2,1.748
256,plonk,gsz,1,2,1.1
256,groth16,local,1,3,0.12201
256,groth16,hbc,1,3,0.149887
256,groth16,spdz,1,3,0.295629
256,groth16,gsz,1,3,0.22964
256,marlin,local,1,3,0.385207
256,marlin,hbc,1,3,0.441336
256,marlin,spdz,1,3,0.761598
256,marlin,gsz,1,3,0.484341
256,plonk,local,1,3,0.805999
256,plonk,hbc,1,3,0.977485
256,plonk,spdz,1,3,1.922
256,plonk,gsz,1,3,1.306
512,groth16,local,1,2,0.179583
512,groth16,hbc,1,2,0.197175
512,groth16,spdz,1,2,0.39313
512,groth16,gsz,1,2,0.238918
512,marlin,local,1,2,0.665867
512,marlin,hbc,1,2,0.711133
512,marlin,spdz,1,2,1.222
512,marlin,gsz,1,2,0.692498
512,plonk,local,1,2,1.434
512,plonk,hbc,1,2,1.569
512,plonk,spdz,1,2,3.079
512,plonk,gsz,1,2,1.94
512,groth16,local,1,3,0.180812
512,groth16,hbc,1,3,0.213377
512,groth16,spdz,1,3,0.427536
512,groth16,gsz,1,3,0.277032
512,marlin,local,1,3,0.664319
512,marlin,hbc,1,3,0.735519
512,marlin,spdz,1,3,1.262
512,marlin,gsz,1,3,0.768556
512,plonk,local,1,3,1.46
512,plonk,hbc,1,3,1.69
512,plonk,spdz,1,3,3.332
512,plonk,gsz,1,3,2.17
1024,groth16,local,1,2,0.318995
1024,groth16,hbc,1,2,0.332842
1024,groth16,spdz,1,2,0.692649
1024,groth16,gsz,1,2,0.393377
1024,marlin,local,1,2,1.158
1024,marlin,hbc,1,2,1.219
1024,marlin,spdz,1,2,2.088
1024,marlin,gsz,1,2,1.236
1024,plonk,local,1,2,2.607
1024,plonk,hbc,1,2,2.787
1024,plonk,spdz,1,2,5.46
1024,plonk,gsz,1,2,3.566
1024,groth16,local,1,3,0.316008
1024,groth16,hbc,1,3,0.365575
1024,groth16,spdz,1,3,0.725574
1024,groth16,gsz,1,3,0.447842
1024,marlin,local,1,3,1.155
1024,marlin,hbc,1,3,1.325
1024,marlin,spdz,1,3,2.291
1024,marlin,gsz,1,3,1.319
1024,plonk,local,1,3,2.594
1024,plonk,hbc,1,3,2.85
1024,plonk,spdz,1,3,5.708
1024,plonk,gsz,1,3,3.651
